method,full_graph,gpu,experiment,stage,mask_size,mask_fraction,mse,mae,mdae,rmse,time,inference_time
gru,False,True,random,test,0.02,nan,0.0028,,,,2229.737,0.126
gru,False,True,random,test,0.05,nan,0.0025,,,,2430.112,0.125
gru,False,True,random,test,0.1,nan,0.0022,,,,2204.093,0.322
gru,False,True,blackout,test,30, 0.01,0.0062,,,,1192.834,0.232
gru,False,True,blackout,test,60, 0.01,0.0057,,,,1567.230,0.283
gru,False,True,blackout,test,150, 0.01,0.0122,,,,1027.556,0.195
gru,False,True,blackout,test,300, 0.01,0.0222,,,,1283.62,0.313
gcgru,False,True,random,test,0.01,nan,0.0038,,,,1572.443,2.744
gcgru,False,True,random,test,0.02,nan,0.0042,,,,2510.021,2.016
gcgru,False,True,random,test,0.05,nan,0.0042,,,,5003.139,2.076
gcgru,False,True,random,test,0.1,nan,0.0042,,,,3257.817,1.853
gcgru,False,True,blackout,test,30, 0.01,0.0047,,,,1114.517,1.778
gcgru,False,True,blackout,test,60, 0.01,0.0035,,,,893.686,1.778
gcgru,False,True,blackout,test,150, 0.01,0.0042,,,,1628.254,1.933
gcgru,False,True,blackout,test,300, 0.01,0.0042,,,,1434.660,1.943
Ours,True,True,random,test,0.01,0.01,0.00700446420765061,0.050428319819393275,0.08369267714472163,62.51983428001404,22.071210861206055
Ours,True,True,blackout,test,30.0,0.01,0.007904889444889259,0.05484565598239924,0.08890944519503684,60.535425424575806,21.464295148849487
Ours,True,True,blackout,test,60.0,0.01,0.010005474726664736,0.055922208414002424,0.10002736988776989,55.630342960357666,23.443607568740845
Ours,True,True,blackout,test,150.0,0.01,0.009520795235560318,0.058267819789135075,0.09757456244103951,56.712124824523926,22.916114568710327
Ours,True,True,blackout,test,300.0,0.01,0.008625849782170824,0.06345280516799792,0.09287545306576342,66.03385806083679,25.514447689056396
Ours,True,True,maintenance,test,1.0,0.01,0.00880684900514812,0.0539863650755718,0.0938448134163424,61.838791608810425,19.40723156929016
Ours,True,True,maintenance,test,2.0,0.01,0.005543283677662282,0.04655021926054074,0.074453231478978,56.770636796951294,23.10606026649475
Ours,True,True,maintenance,test,7.0,0.01,0.010403998102798653,0.057774863154331585,0.10199999069999297,60.70010781288147,21.37172794342041
Ours,True,True,maintenance,test,14.0,0.01,0.009953517161941686,0.059409366690888706,0.09976731509839125,60.563926219940186,23.136820554733276
